,kappa,ev1,ev2,ev_diff,ev_diff_squared,model_diff_squared_real,model_diff_squared_imag,model_var_diff_real,model_var_diff_imag,ev_sum,model_sum_real,model_sum_imag,model_var_sum_real,model_var_sum_imag
0,(1.5+0.5j),(-2.0941730889098844-0.20795088700189832j),(-0.5165202814462224+0.05842905972234264j),(-1.577652807463662-0.266379946724241j),(2.418030104881165+0.8405101416030389j),2.4284972710111035,0.8385523786385785,0.008780449398045675,0.008780449398045675,(-1.3053466851780535-0.07476091363977784j),-1.2804900703744857,-0.088502151526035,0.00017623085977835906,0.00017623085977835906
1,(1.3763066800438635+0.9817536741017153j),(-1.6856551018609973-0.458436330205839j),(-0.8608492333344101+0.17515450637699712j),(-0.8248058685265872-0.6335908365828361j),(0.2788673725541598+1.0451788805163862j),0.26582635514417263,1.0235066056651327,0.007334544156719858,0.007334544156719858,(-1.2732521675977038-0.14164091191442096j),-1.2561750813347112,-0.13917759390857012,5.1523864263214314e-05,5.1523864263214314e-05
2,(1.0358267949789965+1.344327925502015j),(-1.0352379752358594-0.942033793477287j),(-1.3861306623598812+0.5874768619841232j),(0.3508926871240219-1.5295106554614102j),(-2.216277167292876-1.0733882077593564j),-2.2517067597111375,-1.1044833198133264,0.0092936049788932,0.0092936049788932,(-1.2106843187978704-0.1772784657465819j),-1.210870035849019,-0.1686664734721373,8.677417263380782e-05,8.677417263380782e-05
3,(0.5627905195293132+1.4980267284282716j),(-0.4961781091449555-1.201421945113657j),(-1.788672111803006+0.8549375744933373j),(1.2924940026580505-2.0563595196069944j),(-2.55807372697128-5.3156646928016595j),-2.546023743580389,-5.331233342568677,0.011521027539629358,0.011521027539629358,(-1.1424251104739809-0.17324218531015984j),-1.156692718434805,-0.1693484874370646,0.00023994644510960672,0.00023994644510960672
4,(0.07422070843492728+1.4048270524660196j),(0.01981271446206096-1.1620683605910174j),(-2.198055926340246+0.890380803866162j),(2.217868640802307-2.0524491644571796j),(0.7063937351732976-9.104125277380952j),0.7516788490036646,-9.079418917977957,0.01137517250754172,0.01137517250754172,(-1.0891216059390925-0.13584377836242767j),-1.107871473335622,-0.1420697280298795,0.0003849639890312062,0.0003849639890312062
5,(-0.30901699437494734+1.0877852522924734j),(0.40582988033618944-0.8758506431872569j),(-2.5359928871878257+0.7220680476515009j),(2.941822767524015-1.5979186908387577j),(6.100977052990806-9.40158717072325j),6.064057012100333,-9.346824636369284,0.011586279048970027,0.011586279048970027,(-1.065081503425818-0.07689129776787801j),-1.0764604168055079,-0.09496626998447052,0.000451758769624111,0.000451758769624111
6,(-0.4921147013144779+0.625333233564304j),(0.5508583701900022-0.46117037121211196j),(-2.718607306109652+0.4186517342953486j),(3.269465676299654-0.8798221055074605j),(9.915318871161972-5.75309635041267j),9.8866375858459,-5.812126616010572,0.01158873908343594,0.01158873908343594,(-1.083874467959825-0.021259318458381693j),-1.06936123547288,-0.04018522963564212,0.0004640162365837641,0.0004640162365837641
7,(-0.42977648588825124+0.1318754473153217j),(0.48074373167850876-0.0934444884814216j),(-2.704722079231046+0.08577974363941739j),(3.185465810909555-0.179224232120839j),(10.115071107094364-1.1418253278149013j),10.1536513209984,-1.1157931137950508,0.01173544262132964,0.01173544262132964,(-1.1119891737762686-0.0038323724210021087j),-1.0874144364206821,0.009566997722615208,0.0004729225212571908,0.0004729225212571908
8,(-0.13742398974868952-0.27051324277578936j),(0.26882648422319494+0.1959810341952105j),(-2.515682625035355-0.16151354422463154j),(2.78450910925855+0.35749457841984206j),(7.625688605944264+1.9908938202411905j),7.587237505450398,1.990967375383822,0.011750161239660883,0.011750161239660883,(-1.12342807040608+0.017233744985289484j),-1.1260595305886794,0.04339750018761152,0.0005013274350160746,0.0005013274350160746
9,(0.3126186854142754-0.4822872507286887j),(-0.0734298725783271+0.32390969566496913j),(-2.239329557045815-0.2300790627366693j),(2.165899684467488+0.5539887584016384j),(4.384217898740975+2.399768154041288j),4.401656355372577,2.3742168579646536,0.011750626039429335,0.011750626039429335,(-1.156379714812071+0.04691531646414991j),-1.1765615721327902,0.053614515710839236,0.0005353482040998392,0.0005353482040998392
